DEPLOYED tuner_api TOTAL-RUNTIME test vs Python decline%  (trials=1000, mode=hybrid)
==================================================================================
seed_base=5
HW/runs/k/oh                  C_decl%     Py_decl%  diff(pp)
----------------------------------------------------------------------------------
680/10000/0.5/10000             7.227        6.717      0.51
680/10000/0.5/1000000          36.480       37.128     -0.65
680/10000000/0.5/10000          1.127        0.913      0.21
680/10000000/0.5/1000000        3.245        2.992      0.25
750/10000/0.5/100               5.837        5.506      0.33
750/10000/0.5/1000              6.485        6.213      0.27
750/10000/0.5/10000            10.837       10.027      0.81
750/10000/0.5/100000           11.354       10.276      1.08
750/10000/0.5/1000000          25.303       25.687     -0.38
750/1000000/0.5/100000          6.494        6.628     -0.13
750/1000000/0.5/1000000        11.398       11.620     -0.22
750/10000000/0.5/100            1.255        1.373     -0.12
750/10000000/0.5/1000           1.387        1.375      0.01
750/10000000/0.5/10000          1.344        1.323      0.02
750/10000000/0.5/1000000        6.650        6.960     -0.31
1070/10000/0.5/100              8.228        7.891      0.34
1070/10000/0.5/1000             8.755        9.231     -0.48
1070/10000/0.5/10000           11.185       11.131      0.05
1070/10000/0.5/100000          14.824       15.100     -0.28
1070/10000/0.5/1000000        123.412      125.704     -2.29
1070/1000000/0.5/100000         7.102        6.845      0.26
1070/1000000/0.5/1000000       10.577       10.751     -0.17
