DEPLOYED tuner_api TOTAL-RUNTIME test vs Python decline%  (trials=1000, mode=hybrid)
==================================================================================
seed_base=4
HW/runs/k/oh                  C_decl%     Py_decl%  diff(pp)
----------------------------------------------------------------------------------
680/10000/0.5/10000             6.969        6.717      0.25
680/10000/0.5/1000000          35.643       37.128     -1.49
680/10000000/0.5/10000          1.100        0.913      0.19
680/10000000/0.5/1000000        3.088        2.992      0.10
750/10000/0.5/100               5.761        5.506      0.26
750/10000/0.5/1000              6.740        6.213      0.53
750/10000/0.5/10000            10.579       10.027      0.55
750/10000/0.5/100000           11.304       10.276      1.03
750/10000/0.5/1000000          24.369       25.687     -1.32
750/1000000/0.5/100000          6.330        6.628     -0.30
750/1000000/0.5/1000000        11.046       11.620     -0.57
750/10000000/0.5/100            1.231        1.373     -0.14
750/10000000/0.5/1000           1.362        1.375     -0.01
750/10000000/0.5/10000          1.336        1.323      0.01
750/10000000/0.5/1000000        5.996        6.960     -0.96
1070/10000/0.5/100              8.621        7.891      0.73
1070/10000/0.5/1000             8.757        9.231     -0.47
1070/10000/0.5/10000           10.837       11.131     -0.29
1070/10000/0.5/100000          15.300       15.100      0.20
1070/10000/0.5/1000000        120.875      125.704     -4.83
1070/1000000/0.5/100000         7.297        6.845      0.45
1070/1000000/0.5/1000000       11.576       10.751      0.82
